No. ,Jenis Pertanyaan,Pertanyaan,Jawaban,Format
1,Umum,Apa tujuan utama dari pembentukan Kitab Undang-Undang Hukum Pidana (KUHP) yang baru?,"Tujuan utama dari pembentukan Kitab Undang-Undang Hukum Pidana (KUHP) yang baru adalah diperlukan adanya pembaharuan hukum yaitu demokratisasi hukum pidana karena KUHP lama merupakan produk hukum pemerintahan zaman kolonial Hindia Belanda. Pada KUHP baru pemidanaannya berorientasi pada pencegahan bukan penjatuhan hukum. Salah satu contohnya, yaitu diperhatikannya atau diaturnya hak-hak korban disamping proses hukum terhadap kejahatan yang dilakukan pelaku. Pembaharuan ini dilakukan dengan alasan filosofis, politis, sosiologis, dan praktis.  

Filosofis: KUHP lama disusun oleh pemerintah kolonial Belanda dan tidak sesuai dengan landasan filosofis Indonesia.

Sosiologis: Banyak pasal KUHP lama yang tidak lagi sesuai dengan nilai-nilai yang berlaku dalam masyarakat Indonesia modern, dan adanya kemajuan ilmu pengetahuan dan teknologi membuat berbagai pengaturan dalam KUHP menjadi tidak memadai dan ketinggalan zaman.","'Apa tujuan utama dari pembentukan Kitab Undang-Undang Hukum Pidana (KUHP) yang baru?',"
2,Umum,Apa yang dimaksud dengan Kitab Undang-Undang Hukum Pidana KUHP?,"Kitab Undang-Undang Hukum Pidana (KUHP) adalah kumpulan peraturan yang mengatur tentang hukum pidana di Indonesia., seperti tindak pidana, pemidanaan, dan proses hukum terkait pelanggaran hukum pidana. ","'Apa yang dimaksud dengan Kitab Undang-Undang Hukum Pidana KUHP?',"
3,Ruang Lingkup,Bagaimana ruang lingkup berlakunya ketentuan peraturan perundang-undangan pidana menurut waktu?,"Ketentuan peraturan Perundang-undangan hukum pidana menurut waktu diatur dalam asas legalitas dan asas retroaktif. 

Asas legalitas ini berasal dari doktrin nullum delictum nulla poena sine praevia lege poenal yang berarti tiada tindak pidana dan hukuman pidana tanpa sebelumnya ditetapkan dalam suatu undang-undang. Sebagai mana diatur dalam Pasal 1 ayat (1) UU 1/2023 ""Suatu perbuatan tidak dipidana, kecuali berdasarkan kekuatan perundang-undangan pidana yang telah ada"". 

Asas retroaktif menyatakan bahwa peraturan perundang-undanganitu harus sudah ada sebelum tindak pidana itu terjadi, artinya peraturan pidana tidak boleh belaku surut (retroaktif).","'Bagaimana ruang lingkup berlakunya ketentuan peraturan perundang-undangan pidana menurut waktu?',"
4,Ruang Lingkup,Apa yang dimaksud dengan asas wilayah atau teritorial dalam KUHP?,"Asas wilayah atau teritorial adalah asas hubungan internasional yang mewajibkan suatu negara tetap berada dalam wilayah kekuasaannya. Hal ini juga berarti sebuah negara yang berdaulat bertanggung jawab untuk menjaga ketertiban hukum di wilayahnya. Negara berhak untuk memberlakukan hukuman pidana bagi siapa pun yang melakukan tindak pidana di wilayahnya. Sebagaimana diatur dalam Pasal 4 UU 1/2023 yang menyatakan bahwa hukuman pidana belaku bagi siapa pun yang melakukan tindak pidana:
1. Di wilayah Negara Kesatuan Republik Indonesia (NKRI); 
2. Kapal atau Pesawat Udara Indonesia; atau
3. Di bidang teknologi informasi atau tindak pidana lainnya yang akibatnya dialami atau terjadi di wilayah Negara Kesatuan Republik Indonesia atau di Kapal Indonesia dan di Pesawat Undara Indonesia.","'Apa yang dimaksud dengan asas wilayah atau teritorial dalam KUHP?',"
5,Hukum yang Hidup dalam Masyarakat,Bagaimana ketentuan Pasal 2 ayat (1) dan (2) dalam hukum pidana mengatur tentang hukum yang hidup dalam masyarakat?,"Hukum yang hidup dalam masyarakat yang terdapat dalam Pasal 2 menjelaskan bahwa sebagaimana dimaksud pada ayat (1) berlaku dalam tempat hukum itu hidup dan sepanjang tidak diatur dalam Undang-Undang ini dan sesuai dengan nilai-nilai yang terkandung dalam Pancasila, Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, hak asasi manusia, dan asas hukum umum yang diakui masyarakat beradab.","'Bagaimana ketentuan Pasal 2 ayat (1) dan (2) dalam hukum pidana mengatur tentang hukum yang hidup dalam masyarakat?',"
6,Perubahan Peraturan Perundang-undangan,Apa yang terjadi jika terdapat perubahan peraturan perundang-undangan setelah suatu perbuatan dilakukan?,"Jika terjadi perubahan peraturan perundang-undangan setelah suatu perbuatan dilakukan, maka akan diberlakukan peraturan perundang-undangan yang baru, kecuali ketentuan peraturan perundang-undangan yang lama menguntungkan bagi pelaku dan pembantu tindak pidana.","'Apa yang terjadi jika terdapat perubahan peraturan perundang-undangan setelah suatu perbuatan dilakukan?',"
7,Asas Pelindungan dan Nasional,Apa yang dimaksud dengan asas prelindungan dan asas nasional pasif dalam KUHP?,"Asas perlindungan atau asas nasional pasif merupakan asas yang menekankan pada perlindungan unsur nasional terhadap siapa pun dan dimana pun. Prinsip ini dijelaskan dalam Pasal 5 KHUHP 2023 yang menyatakan bahwa hukum pidana berlaku bagi siapapun di luar wilayah NKRI yang melakukan tindak pidana yang berhubungan dengan kepentingan NKRI, seperti keamanan negara, martabat Presiden, Wakil Presiden, pejabat Indonesia, atau kredit yang dikeluarkan oleh perbankan Indonesia, prekonomian, perdagangan, perbankan Indonesia, keselamatan pelayaran dan penerbangan, keselamatan bangunan, peralatan, dan aset nasional atau negara Indonesia, serta keselamatan sistem komunikasi elektronik.","'Apa yang dimaksud dengan asas prelindungan dan asas nasional pasif dalam KUHP?',"
8,Asas Pelindungan dan Nasional,Bagaimana asas nasional aktif diterapkan bagi warga negara Indonesia yang melakukan tindak pidana di luar negeri?,"Asas nasional aktif diterapkan di Indonesia sebagaimana dalam Pasal 8 UU 1/2023 yang menyatakan bahwa hukum pidana Indonesia berlaku bagi warga negara Indonesia yang melakuka tindak pidana di luar wilayah Indonesia, selama tindak pidana tersebut juga merupakan pelanggaran hukum di negara tempat kejadian pidana tersebut terjadi. Namun, terdapat pengecualian pemberlakuan untuk tindak pidana yang hanya diancam dengan pidana denda kategori III.
Warga negara Indonesia yang melakukan tindak pidana di luar negeri tidak dapat dihukum mati jika hukum negara tempat kejadian tersebut tidak mengancam dengan hukuman mati.","'Bagaimana asas nasional aktif diterapkan bagi warga negara Indonesia yang melakukan tindak pidana di luar negeri?',"
9,Tindak Pidana dan Pertanggungjawaban Pidana,Apa definisi dari tindak pidana?,"Istilah tindak pidana berasal dari bahasa Belanda ""Strafbaar feit"" yang memiliki banyak istilah lain, yaitu delik yang jika disimpulkan kedua istilah tersebut memiliki arti yang sama dengan perbuatan yang dapat/boleh dihukum, peristiwa pidana, perbuatan pidana, dan tindak pidana.

Jadi, tindak pidana merupakan perbuatan yang dilakukan seseoran dengan melakukan suatu kejahatan atau pelanggaran pidana yang merugikan kepentingan orang lain atau merugikan kepentingan umum.","'Apa definisi dari tindak pidana?',"
10,Tindak Pidana dan Pertanggungjawaban Pidana,Bagaimana permufakatan jahat diatur dalam KUHP?,"Pemufakatan jahat diatur dalam Pasal 13 UU 1/2023 baru, pasal ini berisikan:
(1) Permufakatan jahat terjadi jika 2 (dua) orang atau lebih bersepakat untuk melakukan Tindak Pidana.
(2) Pemufakatan jahat melakukan Tindak Pidana dipidana jika ditentukan secara tegas dalam Undang-Undang.
(3) Pidana untuk pemufakatan jahat melakukan tindak pidana paling banyak 1/3 (satu per tiga) dari maksimum ancaman pidana pokok untuk tindak pidana yang bersangkutan.
(4) Permufakatan jahat melakukan Tindak Pidana yang diancam dengan pidana mati atau pidana penjara seumur hidup dipidana dengan pidana penjara paling lama 7 (tujuh) tahun.
(5) Pidana tambahan untuk permufakatan jahat melakukan Tindak Pidana sama dengan pidana tambahan untuk Tindak Pidana yang bersangkutan.","'Bagaimana permufakatan jahat diatur dalam KUHP?',"
