TEMPAT KEJADIAN PENCURIAN,WAKTU KEJADIAN,PELAKU MENGGUNAKAN ALAT,SASARAN KEJAHATAN,JUMLAH KERUGIAN,Modus Operandi,JENIS PENCURIAN
AREA PARKIR,PAGI,YA,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,MALAM,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,PAGI,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS
JALAN RAYA,MALAM,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS
HALAMAN RUMAH,DINI HARI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
DALAM RUMAH,SIANG,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
HALAMAN RUMAH,SORE,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,SIANG,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
HALAMAN RUMAH,SORE,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS
DALAM RUMAH,PAGI,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
HALAMAN RUMAH,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
AREA PARKIR,PAGI,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT
JALAN RAYA,SIANG,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS
